"","scrubbed_species_binomial"
"13088","Guapira marcano-bertii"
"13090","Guapira microphylla"
"13112","Guapira myrtiflora"
"13169","Guapira neblinensis"
"13171","Guapira noxia"
"13321","Guapira obtusata"
"13428","Guapira obtusiloba"
"13430","Guapira opposita"
"14300","Guapira pacurero"
"14320","Guapira paraguayensis"
"14327","Guapira pernambucensis"
"14459","Guapira petenensis"
"14469","Guapira psammophila"
"14479","Guapira pubescens"
"14488","Guapira reticulata"
"14490","Guapira riedeliana"
"14500","Guapira rotundifolia"
"14503","Guapira rufescens"
"14508","Guapira rusbyana"
"14510","Guapira salicifolia"
"14549","Guapira sancarlosiana"
"14557","Guapira sipapoana"
"14558","Guapira snethlagei"
"14559","Guapira suborbiculata"
"14566","Guapira suspensa"
"14569","Guapira tomentosa"
"14585","Guapira uberrima"
"14592","Guapira uleana"
"14596","Guapira venosa"
"14625","Guapira witsbergeri"
"14636","Hesperonia aspera"
"14637","Hesperonia limosa"
"14638","Hilleria latifolia"
"14748","Hilleria longifolia"
"14757","Hilleria nemoralis"
"14758","Hilleria secunda"
"14805","Ledenbergia macrantha"
"14825","Ledenbergia peruviana"
"14838","Ledenbergia seguierioides"
"14843","Leucaster caniflorus"
"14860","Microtea bahiensis"
"14862","Microtea debilis"
"15077","Microtea glochidiata"
"15099","Microtea longebracteata"
"15101","Microtea maypurensis"
"15167","Microtea paniculata"
"15386","Microtea papillosa"
"15389","Microtea portoricensis"
"15393","Microtea scabrida"
"15559","Microtea sulcicaulis"
"15566","Microtea tenuifolia"
"15591","Mirabilis acuta"
"15593","Mirabilis aggregata"
"15611","Mirabilis albida"
"16555","Mirabilis alipes"
"16665","Mirabilis austrotexana"
"16678","Mirabilis bigelovii"
"16719","Mirabilis bracteosa"
"16739","Mirabilis californica"
"16767","Mirabilis campanulata"
"16768","Mirabilis ciliatifolia"
"16770","Mirabilis coccinea"
"17031","Mirabilis comata"
"17048","Mirabilis cordifolia"
"17052","Mirabilis decipiens"
"17078","Mirabilis divaricata"
"17080","Mirabilis donahooiana"
"17082","Mirabilis elegans"
"17099","Mirabilis expansa"
"17139","Mirabilis exserta"
"17143","Mirabilis gigantea"
"17156","Mirabilis glabra"
"17350","Mirabilis glabrifolia"
"17495","Mirabilis glandulosa"
"17497","Mirabilis glutinosa"
"17500","Mirabilis gracilis"
"17502","Mirabilis grandiflora"
"17503","Mirabilis greenei"
"17520","Mirabilis hintoniorum"
"17523","Mirabilis hirsuta"
"17851","Mirabilis intercedens"
"17855","Mirabilis jalapa"
"18580","Mirabilis laevis"
"19077","Mirabilis linearis"
"20266","Mirabilis longiflora"
"20558","Mirabilis longipes"
"20561","Mirabilis macfarlanei"
"20577","Mirabilis melanotricha"
"20610","Mirabilis microchlamydea"
"20611","Mirabilis muelleri"
"20613","Mirabilis multiflora"
"21133","Mirabilis nesomii"
"21149","Mirabilis oaxacae"
"21150","Mirabilis oblongifolia"
"21208","Mirabilis odorata"
"21209","Mirabilis oligantha"
"21210","Mirabilis ovata"
"21285","Mirabilis oxybaphoides"
"21437","Mirabilis polonii"
"21444","Mirabilis polyphylla"
"21446","Mirabilis pringlei"
"21466","Mirabilis prostrata"
"21515","Mirabilis pudica"
"21533","Mirabilis pulchella"
"21539","Mirabilis pumila"
"21587","Mirabilis rotundifolia"
"21596","Mirabilis russellii"
"21603","Mirabilis sanguinea"
"21617","Mirabilis suffruticosa"
"21622","Mirabilis tenuiloba"
"21641","Mirabilis texensis"
"21651","Mirabilis triandra"
"21652","Mirabilis triflora"
"21667","Mirabilis trollii"
"21668","Mirabilis urbani"
"21673","Mirabilis violacea"
"21898","Mirabilis viscosa"
"22007","Mirabilis watsoniana"
"22008","Mirabilis weberbaueri"
"22009","Mirabilis wrightiana"
"22015","Neea acuminatissima"
"22029","Neea aeruginosa"
"22042","Neea altissima"
"22053","Neea amaruayensis"
"22055","Neea amplifolia"
"22407","Neea anisophylla"
"22420","Neea austrobrasiliensis"
"22421","Neea bangii"
"22440","Neea bernardii"
"22443","Neea boliviana"
"22550","Neea bracteosa"
"22557","Neea brevipedunculata"
"22559","Neea brittonii"
"22561","Neea buchtienii"
"22574","Neea buxifolia"
"22584","Neea cedenensis"
"22586","Neea chiapensis"
"22587","Neea chlorantha"
"22649","Neea choriophylla"
